Frequency (GHz)      Flux (Jy)
     42.5578852     -0.0092291
     42.5581352      0.0094751
     42.5583852      0.0160641
     42.5586352     -0.0164884
     42.5588852     -0.0199949
     42.5591352      0.0054295
     42.5593852      0.0416617
     42.5596352     -0.0122867
     42.5598852      0.0046185
     42.5601352      0.0093818
     42.5603852     -0.0132628
     42.5606352      0.0113541
     42.5608852      0.0198134
     42.5611352     -0.0099620
     42.5613852     -0.0065314
     42.5616352      0.0116956
     42.5618852     -0.0059667
     42.5621352      0.0213021
     42.5623852     -0.0119894
     42.5626352     -0.0232359
     42.5628852      0.0172017
     42.5631352     -0.0054526
     42.5633852     -0.0006449
     42.5636352     -0.0219303
     42.5638852      0.0242004
     42.5641352      0.0033263
     42.5643852     -0.0118129
     42.5646352      0.0362738
     42.5648852     -0.0092373
     42.5651352     -0.0021018
     42.5653852     -0.0271775
     42.5656352      0.0017761
     42.5658852      0.0180402
     42.5661352     -0.0107211
